NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6001260509,7625,Consumption,22/6/19,No,0.7,0.688,0.444,0.056,0.069,0.05,0.044,0.044,0.056,0.063,0.044,0.044,0.056,0.613,0.094,0.075,0.038,0.169,0.231,0.212,0.781,0.069,0.206,0.287,0.169,0.156,0.181,0.156,0.163,0.156,0.188,0.181,0.256,0.2,0.188,0.163,0.156,0.563,0.412,0.513,0.163,0.2,0.163,0.156,0.169,0.175,0.362,0.425
6001260509,7625,Consumption,23/6/19,No,0.319,0.519,0.194,0.169,0.163,0.163,0.156,0.188,0.163,0.156,0.163,0.156,0.188,0.15,0.169,0.156,0.163,0.163,0.181,0.287,0.237,0.713,0.069,0.113,0.206,0.1,0.106,0.088,0.3,1.763,0.963,0.225,0.513,0.788,0.675,0.563,0.362,0.344,0.275,0.525,0.306,0.438,0.631,0.412,0.381,0.394,0.381,0.656
6001260509,7625,Consumption,24/6/19,No,0.769,0.819,0.056,0.069,0.05,0.044,0.044,0.044,0.063,0.044,0.038,0.044,0.056,0.075,0.469,0.313,0.044,0.038,0.069,0.038,0.044,0.038,0.044,0.063,0.038,0.044,0.038,0.063,0.044,0.044,0.038,0.063,0.044,0.081,0.069,0.056,0.044,0.419,0.888,0.444,0.331,0.419,0.581,0.212,0.281,0.3,0.156,0.831
6001260509,7625,Consumption,25/6/19,No,0.219,0.681,0.063,0.05,0.05,0.056,0.056,0.05,0.044,0.05,0.05,0.063,0.05,0.188,0.475,0.3,0.05,0.056,0.088,0.05,0.044,0.044,0.056,0.044,0.038,0.044,0.044,0.063,0.038,0.044,0.05,0.05,0.044,0.038,0.063,0.044,0.038,0.362,0.475,0.412,0.4,0.506,0.394,0.412,0.375,0.469,0.225,0.269
6001260509,7625,Consumption,26/6/19,No,0.325,0.063,0.05,0.056,0.069,0.044,0.056,0.044,0.069,0.05,0.044,0.05,0.05,0.063,0.45,0.569,0.625,0.319,0.581,0.081,0.069,0.05,0.063,0.044,0.05,0.056,0.038,0.044,0.063,0.044,0.044,0.044,0.056,0.044,0.044,0.063,0.056,0.6,0.844,0.412,0.212,0.319,0.556,0.431,0.306,0.388,0.163,0.163
6001260509,7625,Consumption,27/6/19,No,0.269,0.338,0.05,0.056,0.056,0.05,0.044,0.056,0.05,0.044,0.044,0.056,0.05,0.069,1.25,0.325,0.056,0.044,0.05,0.056,0.05,0.044,0.063,0.044,0.044,0.056,0.05,0.044,0.063,0.05,0.044,0.063,0.044,0.044,0.063,0.044,0.05,0.519,0.938,0.638,0.275,0.206,0.256,0.331,0.237,0.206,0.356,0.275
6001260509,7625,Consumption,28/6/19,No,0.619,0.55,0.731,0.231,0.069,0.063,0.05,0.044,0.069,0.05,0.05,0.063,0.05,0.05,0.656,0.681,0.094,0.056,0.056,0.044,0.044,0.063,0.063,0.531,0.113,0.094,0.388,0.269,0.531,0.1,0.275,0.125,0.925,0.831,0.894,0.95,0.331,0.313,0.5,0.481,0.394,0.412,0.588,0.438,0.388,0.431,0.431,0.325
6001260509,7625,Consumption,29/6/19,No,0.544,0.613,0.806,0.063,0.075,0.05,0.063,0.05,0.063,0.05,0.044,0.063,0.05,0.063,0.1,0.056,0.069,0.35,0.625,0.081,0.056,0.131,0.056,0.063,0.05,0.044,0.063,0.044,0.063,0.044,0.044,0.069,0.044,0.063,0.056,0.044,0.063,0.05,0.369,0.463,0.237,0.275,0.375,0.669,0.2,0.25,0.275,0.319
6001260509,7625,Consumption,30/6/19,No,0.369,0.2,0.788,0.825,0.063,0.056,0.063,0.056,0.05,0.05,0.069,0.044,0.05,0.069,0.113,0.212,0.2,0.356,0.075,0.088,0.188,0.487,0.219,0.219,0.181,0.194,0.319,0.2,0.237,0.313,0.113,0.05,0.063,0.044,0.044,0.244,0.25,0.781,0.625,0.287,0.256,0.456,0.525,0.406,0.494,0.244,0.212,0.281
6001260509,7625,Consumption,1/7/19,No,0.219,0.281,0.85,0.5,0.444,0.05,0.094,0.081,0.075,0.088,0.044,0.075,0.056,0.063,1.188,0.506,0.038,0.063,0.056,0.063,0.044,0.044,0.063,0.05,0.05,0.069,0.05,0.131,0.081,0.056,0.056,0.063,0.044,0.056,0.056,0.044,0.044,0.375,0.369,0.15,0.1,0.063,0.063,0.313,0.263,0.2,0.412,0.75
